lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E07000086,38,6.88,0.78,1.6,31.78,58.62,9.59,14.56,61.36,8.34,2.84,1.61,1.56,0.19,97.42,6.47,73.26,7.42,2.66,1.9,14.43,8.65,7.84,43.62,25.5,56.95,10.54,25.01,116169,0.17,76.67,0.34,0.07,0.31,15.23,80.94,5.74,11.68,3.23,72.94,7.62,9.08,1.52,1
E07000087,40,6.97,0.8,1.57,30.33,60.54,9.13,14.55,58.97,7.96,2.76,1.74,0.83,0.14,98.26,6.79,72.18,7.33,2.98,1.89,13.87,7.47,7.03,45.36,23.6,60.12,9.77,22.06,107977,0.14,77.96,0.15,0.08,0.35,14.19,85.62,4.96,7.62,4.2,68.69,8.36,10.07,1.32,1
E07000088,37,5.63,0.95,1.98,30.84,60.64,8.52,30.18,59.6,6.1,2.53,2.73,0.69,0.22,98.34,8.02,68.94,6.48,2.28,1.58,12.14,8.85,9.48,38.65,27.95,52.29,12.67,26.76,76415,0.15,75.33,0.13,0.04,0.31,16.59,71.69,8.64,17.69,4.44,55.34,15.44,9.45,0.76,1
E07000089,38,6.66,0.61,1.14,32.53,57.81,9.66,3.88,61.56,9.89,2.47,1.56,1.1,0.26,97.69,4.83,77.24,7.09,3.53,2.1,15.67,7.64,6.12,49.81,22.39,60.17,8.51,25.15,83505,0.21,77.17,0.3,0.13,0.37,15.06,80.93,8.68,8.34,1.17,69.32,8.93,13.38,2.31,1
E07000090,41,6.6,0.97,2.26,29.36,60.85,9.79,21.1,53.13,7.99,2.55,2.72,0.6,0.15,98.55,8.53,67.89,7.34,2.5,1.85,13.15,8.01,9.55,38.51,26.56,55.33,11.73,24.06,116849,0.14,73.58,0.14,0.09,0.25,17.44,73.74,4.96,19.32,4.41,68.26,9.1,10.31,1.41,1
E07000091,44,7.59,0.93,1.93,26.09,65.09,8.82,2.25,52.23,10.35,2.28,1.94,0.41,0.11,98.86,7.62,69.41,8.76,3.17,2.29,14.52,7.08,6.96,39.09,27.69,58.47,10.06,21.53,169331,0.12,78.31,0.08,0.11,0.17,13.96,80.29,7.24,10.08,2,68.41,8.41,13.42,0.81,1
E07000092,34,5.51,0.73,1.39,33.3,56.97,9.72,23.3,65.46,7.21,2.54,2.01,2.4,0.63,95.57,6.17,73.48,5.64,2.79,1.67,13.69,10.76,8.54,41.48,25.03,50.76,11.19,31.22,90987,0.39,73.03,0.62,0.07,0.74,16.78,72.42,10.71,15.14,2.29,71.05,10.38,8.01,2.41,1
E07000093,39,7.16,0.74,1.5,31.12,59.53,9.35,1.75,60.46,9.76,2.28,1.54,1.09,0.2,97.93,6.16,73.69,7.19,3.2,1.86,15.02,8.54,7.28,45.5,24.31,58.45,10.55,23.51,109801,0.14,78.11,0.23,0.11,0.32,14.2,74.08,8.82,13.88,2.97,70.12,9.79,11.16,0.63,1
E07000094,40,7.44,0.69,1.28,27.42,64.37,8.21,1.62,53.77,10.9,3.91,1.61,0.99,0.25,97.84,5.91,74.61,8.05,4.27,2.49,16.26,7.36,6.15,41.61,27.98,54.81,9.15,28.02,107222,0.24,76.16,0.24,0.17,0.36,15.91,70.31,10.49,15.92,3.85,68.2,11.47,9.99,2.3,1
E07000095,37,6.45,0.92,1.73,31.6,55.86,12.54,16.92,56.49,10.02,2.1,2.35,1.47,1.17,96.11,6.96,71.45,6.65,2.65,1.69,14.24,8.86,9.19,42.36,25.54,55.07,9.74,27.84,87054,0.16,76.35,0.52,0.34,1.24,13.9,78.6,5.2,13.69,3.55,69.43,9.06,10.91,2.96,1
